Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2014-03-24,day,DreamQuark,https://www.crunchbase.com/organization/dreamquark,"Artificial Intelligence, Financial Services, FinTech, Insurance","DreamQuark helps banks, insurance companies, and asset management firms for all their artificial intelligence needs. ","Paris, Ile-de-France, France",European Union (EU),Active,,1,,2017-11-20,3500000,USD,3500000,Venture - Series Unknown,3500000,USD,3500000,,
2016-10-01,day,Lending Express,https://www.crunchbase.com/organization/lending-express,"Artificial Intelligence, FinTech, Marketplace",Lending Express is the only AI-powered marketplace for business loans. ,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,Seed,2018-05-22,2700000,USD,2700000,Seed,2700000,USD,2700000,,
2012-06-01,day,Voiceitt,https://www.crunchbase.com/organization/voiceitt,"Artificial Intelligence, Assistive Technology, Enterprise Software, Impact Investing, Machine Learning, mHealth, Mobile Apps, Smart Home, Speech Recognition, Wearables","Voiceitt has developed a speech recognition system for non-standard speakers, including impaired speech .","Tel Aviv, Tel Aviv, Israel",,Active,,10,Seed,2018-07-23,20000,USD,20000,Seed,5969142,USD,5969142,,
2015-09-21,day,Galaxy.AI,https://www.crunchbase.com/organization/nanotechgalaxy,"Artificial Intelligence, Enterprise Software, Insurance, InsurTech, Machine Learning, Property Insurance","Galaxy.AI create AI to automate P&C insurance claims processing, disrupting a $50B/year market.","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,3,,2018-08-22,2899999,USD,2899999,Venture - Series Unknown,2899999,USD,2899999,,
2013-10-01,day,untapt,https://www.crunchbase.com/organization/untapt,"Artificial Intelligence, Biotechnology, EdTech, FinTech, Information Technology, Internet, Machine Learning, Natural Language Processing, Recruiting",untapt is a job-site just for tech professionals that makes searching and hiring as smart as it should be.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,6,,2016-11-15,2000000,USD,2000000,Convertible Note,7918000,USD,7918000,,
2008-01-01,year,Selerity,https://www.crunchbase.com/organization/selerity,"Artificial Intelligence, Data Mining, FinTech, Natural Language Processing, Real Time, Sales Automation",A.I. for Financial Workflow Automation,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,4,Late Stage Venture,2016-03-08,4200000,USD,4200000,Series C,14520000,USD,14520000,,
2017-04-01,month,Stackin',https://www.crunchbase.com/organization/stackin,"Finance, FinTech, Machine Learning, Messaging, Personal Finance","Stackin' is a text-based AI financial advisor that helps users save, earn and invest.","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,2,,2018-05-01,2000000,USD,2000000,Venture - Series Unknown,3000000,USD,3000000,,
2012-01-01,year,CallVU,https://www.crunchbase.com/organization/callvu,"Call Center, Collaboration, Customer Service, Data Visualization, FinTech, InsurTech","CallVU is a leader in Digital Transformation, turning every customer interaction into a fully visual, digital engagement.","Tel Aviv, Tel Aviv, Israel",,Active,,4,Early Stage Venture,2018-07-09,,,,Series A,8000000,USD,8000000,,
2015-01-01,year,RiskGenius,https://www.crunchbase.com/organization/riskgenius,"Analytics, Artificial Intelligence, Financial Services, Insurance, InsurTech, Machine Learning",The RiskGenius Platform applies artificial intelligence to insurance policies.,"Overland Park, Kansas, United States",Midwestern US,Active,,2,Early Stage Venture,2017-11-07,2950000,USD,2950000,Series A,2950000,USD,2950000,,
2012-01-01,year,Bokio,https://www.crunchbase.com/organization/bokio,"Accounting, Artificial Intelligence, Internet, Software","Bokio save time & paperwork, create your payslips online through your mobile, tablet or computer. Bokio is always at hand. Absolutely free.","Göteborg, Vastra Gotaland, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,2,Seed,2017-07-13,3100000,EUR,3535378,Seed,3100000,EUR,3535378,,
2012-01-01,year,Akselos,https://www.crunchbase.com/organization/akselos,"Analytics, Asset Management, Infrastructure, Mechanical Engineering, Predictive Analytics, Simulation, Software Engineering",Akselos is the creator of the world’s most advanced digital twin technology to protect critical infrastructure today and tomorrow.,"Lausanne, Vaud, Switzerland",,Active,,4,,2018-09-28,10000000,USD,10000000,Venture - Series Unknown,12253253,USD,12253253,,
2009-01-06,day,Rotageek,https://www.crunchbase.com/organization/rotageek-limited,"Artificial Intelligence, Data Integration, FinTech, Health Care, Human Resources, Retail, Small and Medium Businesses",Predictive data-driven technologies to effectively and fairly schedule staff,"London, England, United Kingdom",European Union (EU),Active,,6,,2018-08-20,4000000,GBP,5121671,Venture - Series Unknown,7609000,GBP,9974230,,
2011-01-01,year,First Access,https://www.crunchbase.com/organization/first-access,"Big Data, Emerging Markets, Finance, Financial Services, FinTech, Mobile, Predictive Analytics",First Access is a fintech company offering a smart data platform for financial institutions in emerging markets,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,Early Stage Venture,2017-11-20,7000000,USD,7000000,Series A,9250000,USD,9250000,,
2013-01-22,day,Trustev,https://www.crunchbase.com/organization/trustev,"Artificial Intelligence, E-Commerce, Fraud Detection, Security, Software",Trustev increases sales and stops fraud for e-commerce and financial companies.,"Cork, Cork, Ireland",European Union (EU),Active,,5,M&A,2015-07-01,,,,Seed,7816903,USD,7816903,,Was Acquired
2013-06-01,day,Crosswise,https://www.crunchbase.com/organization/crosswise,"Advertising, Analytics, Artificial Intelligence, Big Data, Identity Management, Machine Learning, Mobile",Cross-Device Identification Mapping,"Tel Aviv, Tel Aviv, Israel",,Active,,2,M&A,2015-08-30,3000000,USD,3000000,Series A,5000000,USD,5000000,,Was Acquired
2013-01-01,year,Growth Street,https://www.crunchbase.com/organization/growth-street,"Artificial Intelligence, Financial Services, FinTech, Small and Medium Businesses","Fast, flexible overdrafts for growing businesses","London, England, United Kingdom",European Union (EU),Active,,1,,2015-11-20,5000000,GBP,7595690,Venture - Series Unknown,5000000,GBP,7595690,,
2013-01-01,year,Saagie,https://www.crunchbase.com/organization/saagie,"Artificial Intelligence, Big Data, Enterprise Applications, FinTech, Information Technology, PaaS","Saagie is an end-to-end data platform to extract and refine your data, to build and run AI-based applications.","Petit-quevilly, Haute-Normandie, France",European Union (EU),Active,,3,Early Stage Venture,2018-01-29,5000000,EUR,6190516,Series A,10050000,EUR,11611806,,
2013-12-01,day,ArgonCredit,https://www.crunchbase.com/organization/argoncredit,"Analytics, Consumer Lending, Finance, Financial Services, FinTech, Innovation Management, Machine Learning, Personal Finance","Argon Credit is a online personal loan startup. Currently growing in the U.S. with plans to expand into the U.K., Europe and Australia.","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,4,Early Stage Venture,2015-05-19,75000000,USD,75000000,Debt Financing,80050000,USD,80050000,,
2016-06-15,day,Tradeteq,https://www.crunchbase.com/organization/tradeteq,"Analytics, Big Data, Finance, FinTech, Machine Learning, Payments",Trade Finance Network & Analytics,"London, England, United Kingdom",European Union (EU),Active,,3,Seed,2018-07-18,6300000,USD,6300000,Seed,6300000,USD,6300000,,
2013-01-01,year,HelloSoda,https://www.crunchbase.com/organization/hellosoda,"Advertising, Analytics, Big Data, Data Visualization, Finance, FinTech, Information Technology",HelloSoda is Designed To Predict Your Credit Rating And Potential For Fraud,"Manchester, Manchester, United Kingdom",European Union (EU),Active,,4,Private Equity,2017-11-01,4000000,GBP,5302620,Private Equity,5500000,GBP,7291102,,
2017-01-16,day,Rossum,https://www.crunchbase.com/organization/rossum,"Artificial Intelligence, Document Management, FinTech, SaaS",Rossum creates a world without manual data entry.,"London, England, United Kingdom",European Union (EU),Active,,2,Seed,2018-03-07,750000,USD,750000,Seed,1000000,USD,1000000,,
2015-01-01,year,DPOrganizer,https://www.crunchbase.com/organization/dporganizer,"Compliance, Data Visualization, Legal","The DPOrganizer SaaS will help you map, visualize, report and manage your processing of personal data.","Stockholm, Stockholms Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",Active,,4,Early Stage Venture,2018-07-17,3000000,EUR,3495973,Series A,6032000,EUR,7086515,,
2015-12-01,month,Flowcast,https://www.crunchbase.com/organization/flowcast,"Artificial Intelligence, Big Data, Financial Services, FinTech, Machine Learning",Flowcast provides an AI platform to automate and power smarter credit decisions,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,Seed,2016-11-07,2300000,USD,2300000,Seed,2300000,USD,2300000,,
2014-02-23,day,MinerEye,https://www.crunchbase.com/organization/minereye,"Artificial Intelligence, Compliance, Cyber Security, Security",An artificial intelligence platform for data governance,"Hod Hasharon, HaMerkaz, Israel",,Active,,3,Seed,2017-08-01,3600000,USD,3600000,Seed,4600000,USD,4600000,,
2015-01-01,year,Float,https://www.crunchbase.com/organization/float-4,"Credit, Financial Services, Machine Learning",Float is a mobile-first credit experience that offers small dollar credit lines built on bank and alternative data.,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Closed,,3,Seed,2017-02-09,3000000,USD,3000000,Seed,4000000,USD,4000000,,
2016-02-01,day,Colendi,https://www.crunchbase.com/organization/colendi,"Artificial Intelligence, Blockchain, Ethereum, FinTech, Machine Learning",Colendi is comprehensive decentralized credit scoring protocol and microcredit platform with blockchain and machine learning technologies,"Zug, Zug, Switzerland",,Active,,1,,2018-08-29,2500000,USD,2500000,Venture - Series Unknown,2500000,USD,2500000,,
2011-05-01,day,BISON,https://www.crunchbase.com/organization/bison,"Business Intelligence, Data Visualization, FinTech",Bison’s technology disrupts the way information is consumed and exchanged in private markets.,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,7,,2018-01-08,,,,Venture - Series Unknown,4335000,USD,4335000,,
2013-01-01,year,Yongqianbao,https://www.crunchbase.com/organization/yongqianbao,"Artificial Intelligence, Financial Services, FinTech","Yongqianbao is an AI-based financial service APP that provides small amount, short term loans to underbanked population in China.","Beijing, Beijing, China",Asia-Pacific (APAC),Active,,5,Late Stage Venture,2017-03-31,466000000,CNY,67637197,Series C,622000000,CNY,90990158,,
2016-01-18,day,Kristal.AI (O2O Technologies Pte Ltd),https://www.crunchbase.com/organization/kristal-ai-o2o-technologies-pte-ltd,"Artificial Intelligence, Asset Management, Trading Platform",Kristal is an AI based asset management platform that gives investors access to independent advisors and portfolio managers.,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,2,Seed,2018-04-11,1850000,USD,1850000,Seed,3050000,USD,3050000,,
2011-02-01,day,GrowthIntel,https://www.crunchbase.com/organization/growth-intelligence,"Artificial Intelligence, Big Data, Business Intelligence, Enterprise Software, Real Time, Risk Management",Growth Intelligence is a UK technology company offering a software-as-a-service product to B2B corporations.,"London, England, United Kingdom",European Union (EU),Active,,1,Early Stage Venture,2015-03-06,3400000,USD,3400000,Series A,3400000,USD,3400000,,
2012-01-01,year,Rippleshot,https://www.crunchbase.com/organization/rippleshot,"Analytics, Big Data, Data Visualization, Enterprise Software, Fraud Detection, Machine Learning",Credit and Debit Card Fraud Detection,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,,6,,2018-08-21,1500000,USD,1500000,Convertible Note,7300000,USD,7300000,,
2016-01-01,year,Symend,https://www.crunchbase.com/organization/symend,"Debt Collections, Financial Services, Predictive Analytics",Symend Inc. is committed to improving debt delinquency,"Calgary, Alberta, Canada",,Active,,3,Seed,2018-11-01,175000,USD,175000,Grant,1175000,USD,1175000,,
2012-01-01,year,encompass,https://www.crunchbase.com/organization/encompass-corporation,"Analytics, Business Intelligence, Compliance, Data Visualization, Information Technology","encompass robotically automates information and news discovery for KYC requirements for onboarding, event-driven refresh and remediation. ","Glasgow, Glasgow City, United Kingdom",European Union (EU),Active,,2,,2017-10-04,600000,GBP,793967,Venture - Series Unknown,4200000,GBP,5461804,,
2009-01-01,year,"Allure Security Technology, Inc.",https://www.crunchbase.com/organization/allure-security-technology-inc,"Analytics, Artificial Intelligence, Big Data, Cloud Security, Cyber Security, Machine Learning, Mobile, Risk Management",Novo is the first Data Loss Detection and Response (DDR) technology that tracks and protects documents inside and outside the enterprise. ,"Waltham, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,,1,Seed,2018-01-25,5300000,USD,5300000,Seed,5300000,USD,5300000,,
2015-01-01,year,DataSine,https://www.crunchbase.com/organization/datasine,"FinTech, Information Technology, Machine Learning, Psychology",DataSine offers a client segmentation tool combining big data and psychometrics to help financial institutions understand their clients.,"London, England, United Kingdom",European Union (EU),Active,,3,Seed,2017-12-05,,,,Non-equity Assistance,1000000,EUR,1178557,,
1999-01-01,year,Saffron Technology,https://www.crunchbase.com/organization/saffron-technology,"Artificial Intelligence, Machine Learning, Risk Management","Saffron Technology offers research, financial, risk management, supply chain, security, healthcare, and social media services.","Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,4,M&A,2014-03-20,7000000,USD,7000000,Series B,7540888,USD,7540888,,Was Acquired
2015-05-15,day,Walnut Algorithms,https://www.crunchbase.com/organization/walnut-algorithms,"Artificial Intelligence, Asset Management, Financial Services, FinTech, Machine Learning, Wealth Management",Artificial Intelligence for Investment Management,"Paris, Ile-de-France, France",European Union (EU),Active,,4,Seed,2017-07-01,420000,EUR,479832,Grant,1470000,EUR,1651925,,
2014-01-01,year,Fractal Labs,https://www.crunchbase.com/organization/fractal-labs,"Analytics, Artificial Intelligence, Blockchain, Credit, FinTech, Machine Learning, Software",Fractal powers smart SME banking.,"London, England, United Kingdom",European Union (EU),Active,,1,Seed,2015-01-01,800000,GBP,1242039,Seed,800000,GBP,1242039,,
2016-12-01,day,Stratyfy,https://www.crunchbase.com/organization/stratyfy,"Analytics, Artificial Intelligence, FinTech, Information Technology, InsurTech, Machine Learning, Predictive Analytics, Software",Stratyfy provides predictive analytics and decision management solutions to financial institutions.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,Seed,2017-08-01,900000,USD,900000,Seed,900000,USD,900000,,
2016-09-01,day,Sarwa.co,https://www.crunchbase.com/organization/sarwa-co,"Artificial Intelligence, FinTech, Wealth Management",The first hybrid investment platform for young professionals in the region. Sarwa's platform makes expert investing easy and affordable.,"Dubai, Dubai, United Arab Emirates",Gulf Cooperation Council (GCC),Active,,2,Seed,2018-09-02,1300000,USD,1300000,Seed,1300000,USD,1300000,,
2016-01-01,year,Zighra,https://www.crunchbase.com/organization/zighra,"Artificial Intelligence, Biometrics, Enterprise Software, Identity Management, Machine Learning, Mobile",Decentralized AI powered continuous authentication and fraud detection,"Ottawa, Ontario, Canada",Great Lakes,Active,,3,Seed,2016-12-16,1000000,USD,1000000,Seed,2000000,USD,2000000,,
2012-01-01,year,Satago,https://www.crunchbase.com/organization/satago-net,"Accounting, Artificial Intelligence, Enterprise Software, FinTech, Small and Medium Businesses",Satago is software that helps small businesses improve cashflow by getting paid faster.,"London, England, United Kingdom",European Union (EU),Active,,4,M&A,2016-06-08,3000000,GBP,4353352,Debt Financing,7721769,USD,7721769,,Was Acquired
1978-01-01,year,Questel,https://www.crunchbase.com/organization/questel,"Analytics, Asset Management, Business Intelligence, Consulting, Data Visualization, E-Learning, Innovation Management, Intellectual Property",Covering IP needs across the innovation lifecycle.,"Paris, Ile-de-France, France",European Union (EU),Active,,1,Private Equity,2015-06-02,18000000,EUR,20070693,Private Equity,18000000,EUR,20070693,5,Made Acquisitions
2011-11-01,day,S4,https://www.crunchbase.com/organization/solapa4,"Agriculture, Business Intelligence, FinTech, Insurance, Machine Learning, Risk Management",S4 provides risk management solutions to ensure food production. ,"Buenos Aires, Distrito Federal, Argentina",,Active,,5,Seed,2016-07-19,1200000,USD,1200000,Convertible Note,3425000,USD,3425000,,
2013-11-01,day,Artificial Labs,https://www.crunchbase.com/organization/artificial-labs,"Artificial Intelligence, Insurance, InsurTech, Web Development","We collaborate with leading insurers, using technology to save time, money and increase sales.","London, England, United Kingdom",European Union (EU),Active,,2,Seed,2018-02-28,1000000,GBP,1375466,Convertible Note,2000000,GBP,2695265,,
2015-09-01,month,Olivia AI,https://www.crunchbase.com/organization/olivia-ai-inc,"Artificial Intelligence, FinTech, Mobile Apps",Olivia is an AI-powered financial assistant app that helps you stretch your paycheck and better spend your hard-earned money.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Seed,2016-05-12,500000,USD,500000,Seed,500000,USD,500000,,
2015-06-25,day,Responsive,https://www.crunchbase.com/organization/responsive-capital-management-2,"Artificial Intelligence, Finance, Financial Services, FinTech, Wealth Management",The enterprise hybrid wealth management solution for service excellence and actionable insights.,"Vancouver, British Columbia, Canada",,Active,,2,Seed,2018-09-14,1100000,CAD,843589,Seed,1093589,USD,1093589,,
2016-01-01,year,ABC Fintech,https://www.crunchbase.com/organization/abc-fintech,"Artificial Intelligence, Enterprise Software, Financial Services, FinTech, Machine Learning, SaaS",ABC Fintech provides AI-driven cloud services for financial professionals.,"Beijing, Beijing, China",Asia-Pacific (APAC),Active,,1,Early Stage Venture,2017-08-31,30000000,USD,30000000,Series A,30000000,USD,30000000,,
2013-05-16,day,Aureus Analytics,https://www.crunchbase.com/organization/aureus-analytics,"Banking, Insurance, Machine Learning, Predictive Analytics","Customer Intelligence & Experience company. Focus on Insurance & Banking. BigData, Predictive Analytics & Machine Learning.","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,,4,Seed,2017-07-06,,,,Seed,850000,USD,850000,,
2016-01-01,year,Pulse iD,https://www.crunchbase.com/organization/pulse-id,"Artificial Intelligence, FinTech, Location Based Services, Machine Learning",Deepen and protect customer relationships with precise location.,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Active,,3,Early Stage Venture,2017-05-01,,,,Series A,3800000,USD,3800000,,
2010-05-10,day,Ancoa Software,https://www.crunchbase.com/organization/ancoa-software,"Analytics, Big Data, Data Visualization, FinTech, Fraud Detection","Ancoa provides contextual surveillance and insightful analytics for exchanges, regulators, buy & sell-side firms.","London, England, United Kingdom",European Union (EU),Active,,2,M&A,2015-09-21,4099999,GBP,6359654,Series A,4099999,GBP,6359654,,Was Acquired
2013-02-15,day,Wireless Registry,https://www.crunchbase.com/organization/the-wireless-registry,"Identity Management, Internet of Things, Location Based Services, Machine Learning",Contextual Awareness of Wireless Things and Spaces,"Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,,4,Early Stage Venture,2017-10-04,6200000,USD,6200000,Series A,9414000,USD,9414000,,
2017-05-01,day,DEVCON DETECT,https://www.crunchbase.com/organization/dev-con-detect,"Artificial Intelligence, Cyber Security, FinTech, Fraud Detection, Information Technology",DEVCON DETECT is Cyber Security Company developing anti-fraud and anti-money laundering software for the online advertising,"Memphis, Tennessee, United States",Southern US,Active,,4,Seed,2017-09-28,,,,Seed,1340000,USD,1340000,,
2016-01-01,day,Vic.ai,https://www.crunchbase.com/organization/vic-ai,"Accounting, Artificial Intelligence, Financial Services, Information Services",Exponential Accounting,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,2,Seed,2017-08-01,1500000,USD,1500000,Seed,1500000,USD,1500000,,
2012-01-01,year,CogniCor,https://www.crunchbase.com/organization/cognicor-technologies,"Analytics, Artificial Intelligence, Banking, Big Data, FinTech, InsurTech, Machine Learning, Natural Language Processing",CogniCor is the cognitive customer engagement platform for Enterprise,"Barcelona, Catalonia, Spain",European Union (EU),Active,,5,Seed,2017-09-26,,,,Convertible Note,775950,EUR,1032335,,
2014-03-17,day,Invacio Research Analytica,https://www.crunchbase.com/organization/invacio,"Artificial Intelligence, Big Data, Blockchain, Finance, FinTech, Machine Learning, National Security","Solve intelligence, use it to make the world a better place.","London, England, United Kingdom",European Union (EU),Active,,4,M&A,2018-04-30,400000,USD,400000,Initial Coin Offering,7450000,USD,7450000,,Was Acquired
2017-01-01,year,Insurdata,https://www.crunchbase.com/organization/insurdata,"Data Visualization, Insurance, Risk Management","High resolution, building level, peril-specific exposure and risk data globally.","Denver, Colorado, United States","Greater Denver Area, Western US",Active,,1,Seed,2017-10-24,1000000,USD,1000000,Seed,1000000,USD,1000000,,
2013-03-19,day,IZICAP,https://www.crunchbase.com/organization/izicap,"Analytics, Data Visualization, FinTech, Loyalty Programs, Payments",Effective card-linked marketing for small & medium businesses,"Sophia Antipolis, Provence-Alpes-Cote d'Azur, France",European Union (EU),Active,,2,,2018-07-04,6000000,EUR,6996252,Venture - Series Unknown,6000000,EUR,6996252,,
2016-08-01,day,OptaCredit,https://www.crunchbase.com/organization/optacredit,"Artificial Intelligence, Credit, Lending","OptaCredit is an artificial intelligence-powered, data-driven online lender","Chennai, Tamil Nadu, India",Asia-Pacific (APAC),Active,,1,,2018-01-22,4000000,USD,4000000,Debt Financing,4000000,USD,4000000,,
2014-05-22,day,SESAMm,https://www.crunchbase.com/organization/sesamm,"Analytics, Artificial Intelligence, Big Data, Cryptocurrency, Data Visualization, Finance, Financial Services, FinTech, Natural Language Processing, Predictive Analytics",SESAMm is an innovative FinTech company specializing in Big Data and Artificial Intelligence for Asset Management.,"Metz, Lorraine, France",European Union (EU),Active,,2,Early Stage Venture,2018-03-09,2600000,EUR,3199948,Series A,3600000,EUR,4336558,,
2015-10-28,day,Change Labs,https://www.crunchbase.com/organization/change-labs-2,"Artificial Intelligence, Finance, Financial Services, FinTech",Change Labs is an award-winning A.I company that is helping financial institutions to improve financial health of their retail customers,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,,2018-05-30,1400000,USD,1400000,Venture - Series Unknown,2200000,USD,2200000,,
2017-01-05,day,EquBot,https://www.crunchbase.com/organization/equbot,"Artificial Intelligence, FinTech",EquBot is a technology company that is disrupting the investment process. Our powerful AI provides unique investment insights to investors.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Seed,2017-06-10,335000,USD,335000,Seed,335000,USD,335000,,
2015-11-01,month,Receptiviti,https://www.crunchbase.com/organization/receptiviti,"Analytics, Artificial Intelligence, Human Resources, Natural Language Processing, Psychology, Risk Management","Receptiviti analyzes communication, helping you better understand the psychologies of the people who matter most to your business.","Toronto, Ontario, Canada",Great Lakes,Active,,2,Early Stage Venture,2018-09-01,2300000,CAD,1762788,Series A,2452788,USD,2452788,,
2014-04-14,day,Parabole.ai,https://www.crunchbase.com/organization/parabole-llc,"Artificial Intelligence, Machine Learning, Risk Management, Text Analytics","Cognitive Analytics Platform, Enterprise Knowledge Graph and related solutions for banking and finance","Monmouth Junction, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",Active,,3,,2018-01-14,1650000,USD,1650000,Convertible Note,2850000,USD,2850000,,
2015-08-01,month,ABAKA Holdings,https://www.crunchbase.com/organization/abaka-holdings,"Artificial Intelligence, Finance, Financial Services, FinTech",ABAKA is an Employee Financial Wellbeing platform powered by Artificial Intelligence,"London, England, United Kingdom",European Union (EU),Active,,2,Seed,2017-08-20,1250000,GBP,1609124,Seed,1950000,GBP,2489789,,
2015-10-14,day,NetObjex,https://www.crunchbase.com/organization/netobjex,"Artificial Intelligence, Asset Management, Big Data, Blockchain, Cryptocurrency, FinTech, Information Technology, Internet of Things, Machine Learning, Smart Cities",NetObjex provides a Decentralized Digital Asset Management Platform as a Service using IoT and Distributed Ledger technologies. ,"Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,,3,,2018-01-29,107000,USD,107000,Equity Crowdfunding,489000,USD,489000,1,Made Acquisitions
2016-06-01,day,Exabel,https://www.crunchbase.com/organization/exabel,"Analytics, Artificial Intelligence, Cloud Computing, Finance, FinTech, Machine Learning, SaaS",Artificial intelligence for human investors,"Oslo, Oslo, Norway","Nordic Countries, Scandinavia",Active,,3,Seed,2018-08-24,4710000,USD,4710000,Seed,10230000,USD,10230000,,
2008-03-11,day,Advanced Virtual,https://www.crunchbase.com/organization/advanced-virtual,"Artificial Intelligence, Augmented Reality, Big Data, Blockchain, FinTech, IaaS, Intelligent Systems, Internet of Things, Machine Learning, Natural Language Processing, Operating Systems, PaaS, Predictive Analytics, Robotics, SaaS, Virtual Reality","Artificial Intelligence, ML, Operating System, Personal Supercomputers, Virtual Reality, Augmented Reality, Data Mining, IoT, Blockchain","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,2,Early Stage Venture,2018-04-23,2500000,USD,2500000,Series A,2866054,USD,2866054,1,Made Acquisitions
2015-10-01,month,BankSight Systems,https://www.crunchbase.com/organization/banksight,"Banking, Cloud Computing, CRM, Machine Learning, Predictive Analytics, SaaS, Software",BankSight Systems offers Intelligent Banking CRM for banks and credit unions.,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,,1,Seed,2015-12-19,4700000,USD,4700000,Seed,4700000,USD,4700000,,
2014-01-23,day,ForCity,https://www.crunchbase.com/organization/forcity,"Data Integration, Data Visualization, Risk Management, SaaS, Smart Cities, Software Engineering",Using 4D simulation to support decision making for tomorrow's smart cities,"Lyon, Rhone-Alpes, France",European Union (EU),Active,,1,Early Stage Venture,2018-01-31,8000000,EUR,9933741,Series A,8000000,EUR,9933741,,
2013-11-15,day,Beagle,https://www.crunchbase.com/organization/beagle-inc,"Artificial Intelligence, Collaboration, Compliance, Information Services, Machine Learning, Natural Language Processing, SaaS","Beagle is taught to read based on what you want, and gives you the information you need to know.","Kitchener, Ontario, Canada",Great Lakes,Active,,4,,2015-10-31,,,,Non-equity Assistance,300000,USD,300000,,
2014-01-01,year,FinTech Studios,https://www.crunchbase.com/organization/fintech-studios,"Artificial Intelligence, Big Data, Financial Services, FinTech, Machine Learning, Mobile Apps, Natural Language Processing","Cloud platform of FinTech apps and big data analytics leveraging machine learning, NLP and AI","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,1,Seed,2017-07-20,1000000,USD,1000000,Seed,1000000,USD,1000000,1,Made Acquisitions
2014-01-01,year,Liber Finance Group,https://www.crunchbase.com/organization/liber-finance-group,"Artificial Intelligence, Consumer Lending, FinTech, Machine Learning, Marketplace",Liber Finance Group is a financial technology company that operates multiple AI-driven marketplaces across Europe for consumer finance,"Warsaw, Mazowieckie, Poland",European Union (EU),Active,,2,Seed,2017-06-01,2000000,EUR,2242569,Seed,2000000,EUR,2242569,,
2014-08-01,day,"FitBliss, Inc.",https://www.crunchbase.com/organization/fitbliss,"Artificial Intelligence, Employee Benefits, Health Care, Health Insurance, Human Resources, InsurTech, Machine Learning, Productivity Tools, SaaS, Wellness",Optimize Health & Productivity for the Global Workforce,"San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,4,Seed,2018-07-16,120000,USD,120000,Convertible Note,380000,USD,380000,,
2017-06-01,day,10XTS,https://www.crunchbase.com/organization/10xts,"Artificial Intelligence, Blockchain, Enterprise Software, FinTech, Machine Learning, Software, Software Engineering",10XTS is a venture lab. We build enterprise blockchain products and solutions.,"Cincinnati, Ohio, United States","Great Lakes, Midwestern US",Active,,2,Early Stage Venture,2018-10-01,,,,Series A,400000,USD,400000,,
2014-01-01,day,HEXANIKA,https://www.crunchbase.com/organization/hexanika,"Artificial Intelligence, Banking, Big Data, Compliance, Financial Services, FinTech, Software",Automate Regulatory Compliance using Artificial Intelligence,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,4,,2017-09-17,100000,USD,100000,Venture - Series Unknown,250000,USD,250000,,
